15	573080.052727	4142500.12273
16	573072.105455	4142503.24545
17	573064.158182	4142506.36818
18	573056.210909	4142509.49091
19	573048.263636	4142512.61364
20	573040.316364	4142515.73636
21	573032.369091	4142518.85909
22	573024.421818	4142521.98182
23	573016.474545	4142525.10455
24	573008.527273	4142528.22727
25	573000.58	4142531.35
26	572994.076522	4142532.59565
27	572987.573043	4142533.8413
28	572981.069565	4142535.08696
29	572974.566087	4142536.33261
30	572968.062609	4142537.57826
31	572961.55913	4142538.82391
32	572955.055652	4142540.06957
33	572948.552174	4142541.31522
34	572942.048696	4142542.56087
35	572935.545217	4142543.80652
36	572929.041739	4142545.05217
37	572922.538261	4142546.29783
38	572916.034783	4142547.54348
39	572909.531304	4142548.78913
40	572903.027826	4142550.03478
41	572896.524348	4142551.28043
42	572890.02087	4142552.52609
43	572883.517391	4142553.77174
44	572877.013913	4142555.01739
45	572870.510435	4142556.26304
46	572864.006957	4142557.5087
47	572857.503478	4142558.75435
48	572851.0	4142560.0
49	572851.0	4142560.0
50	572853.261111	4142567.39111
51	572855.522222	4142574.78222
52	572857.783333	4142582.17333
53	572860.044444	4142589.56444
54	572862.305556	4142596.95556
55	572864.566667	4142604.34667
56	572866.827778	4142611.73778
57	572869.088889	4142619.12889
58	572871.35	4142626.52
59	572872.820833	4142633.47667
60	572874.291667	4142640.43333
61	572875.7625	4142647.39
62	572877.233333	4142654.34667
63	572878.704167	4142661.30333
64	572880.175	4142668.26
65	572881.645833	4142675.21667
66	572883.116667	4142682.17333
67	572884.5875	4142689.13
68	572886.058333	4142696.08667
69	572887.529167	4142703.04333
70	572889.0	4142710.0
71	572891.399231	4142718.23077
72	572893.798462	4142726.46154
73	572896.197692	4142734.69231
74	572898.596923	4142742.92308
75	572900.996154	4142751.15385
76	572903.395385	4142759.38462
77	572905.794615	4142767.61538
78	572908.193846	4142775.84615
79	572910.593077	4142784.07692
80	572912.992308	4142792.30769
81	572915.391538	4142800.53846
82	572917.790769	4142808.76923
83	572920.19	4142817.0
84	572923.351538	4142824.13385
85	572926.513077	4142831.26769
86	572929.674615	4142838.40154
87	572932.836154	4142845.53538
88	572935.997692	4142852.66923
89	572939.159231	4142859.80308
90	572942.320769	4142866.93692
91	572945.482308	4142874.07077
92	572948.643846	4142881.20462
93	572951.805385	4142888.33846
94	572954.966923	4142895.47231
95	572958.128462	4142902.60615
96	572961.29	4142909.74
97	572956.6275	4142916.4775
98	572951.965	4142923.215
99	572947.3025	4142929.9525
100	572942.64	4142936.69
101	572942.64	4142936.69
102	572942.64	4142936.69
103	572942.64	4142936.69
104	572942.64	4142936.69
105	572942.64	4142936.69
106	572942.64	4142936.69
107	572942.64	4142936.69
108	572934.622903	4142938.26226
109	572926.605806	4142939.83452
110	572918.58871	4142941.40677
111	572910.571613	4142942.97903
112	572902.554516	4142944.55129
113	572894.537419	4142946.12355
114	572886.520323	4142947.69581
115	572878.503226	4142949.26806
116	572870.486129	4142950.84032
117	572862.469032	4142952.41258
118	572854.451935	4142953.98484
119	572846.434839	4142955.5571
120	572838.417742	4142957.12935
121	572830.400645	4142958.70161
122	572822.383548	4142960.27387
123	572814.366452	4142961.84613
124	572806.349355	4142963.41839
125	572798.332258	4142964.99065
126	572790.315161	4142966.5629
127	572782.298065	4142968.13516
128	572774.280968	4142969.70742
129	572766.263871	4142971.27968
130	572758.246774	4142972.85194
131	572750.229677	4142974.42419
132	572742.212581	4142975.99645
133	572734.195484	4142977.56871
134	572726.178387	4142979.14097
135	572718.16129	4142980.71323
136	572710.144194	4142982.28548
137	572702.127097	4142983.85774
138	572694.11	4142985.43
139	572694.06	4142978.42588
140	572694.01	4142971.42176
141	572693.96	4142964.41765
142	572693.91	4142957.41353
143	572693.86	4142950.40941
144	572693.81	4142943.40529
145	572693.76	4142936.40118
146	572693.71	4142929.39706
147	572693.66	4142922.39294
148	572693.61	4142915.38882
149	572693.56	4142908.38471
150	572693.51	4142901.38059
151	572693.46	4142894.37647
152	572693.41	4142887.37235
153	572693.36	4142880.36824
154	572693.31	4142873.36412
155	572693.26	4142866.36
156	572697.186667	4142866.5425
157	572701.113333	4142866.725
158	572705.04	4142866.9075
